Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0.1,0.07046,-0.048786,0.023926,0.015565,0.029396,-0.060393,0.010367
0.2,0.071821,-0.048663,0.023954,0.017242,0.029948,-0.055062,0.015459
0.3,0.070446,-0.047448,0.028958,0.020705,0.029166,-0.050964,0.018062
0.4,0.068275,-0.044695,0.03104,0.022052,0.03327,-0.04439,0.020108
0.5,0.066348,-0.042509,0.029764,0.017877,0.037588,-0.044825,0.016749
0.6,0.064147,-0.039537,0.032581,0.019027,0.033675,-0.047049,0.021054
0.7,0.061408,-0.037097,0.035704,0.020266,0.030194,-0.050158,0.024632
0.8,0.051628,-0.035863,0.045185,0.019092,0.031567,-0.055329,0.02392
0.9,0.04947,-0.034573,0.042338,0.017717,0.032828,-0.05848,0.026781
1,0.048021,-0.035439,0.043123,0.017518,0.032425,-0.059281,0.029287
1.1,0.048072,-0.037261,0.043893,0.019569,0.030176,-0.057996,0.033649
1.2,0.04748,-0.036886,0.042174,0.02093,0.028539,-0.058132,0.03456
1.3,0.047463,-0.035943,0.038867,0.02125,0.027346,-0.057435,0.035406
1.4,0.047228,-0.033836,0.035434,0.021913,0.026959,-0.056114,0.03668
1.5,0.04873,-0.029253,0.032589,0.02068,0.029398,-0.053481,0.035344
1.6,0.049491,-0.026801,0.030949,0.020522,0.030383,-0.051423,0.035954
1.7,0.0499,-0.025761,0.031549,0.020728,0.031162,-0.050514,0.035351
1.8,0.04995,-0.025902,0.031672,0.019894,0.03157,-0.049648,0.03629
1.9,0.049745,-0.026358,0.031851,0.01937,0.031765,-0.049286,0.037074
2,0.049432,-0.027731,0.032125,0.017242,0.032441,-0.047797,0.039507
2.1,0.048961,-0.028286,0.032431,0.017005,0.032532,-0.047731,0.039788
2.2,0.04833,-0.028768,0.032393,0.016602,0.031662,-0.047503,0.038995
2.3,0.048073,-0.028851,0.032503,0.016582,0.031745,-0.047271,0.038671
2.4,0.047903,-0.028393,0.032722,0.017078,0.032176,-0.046958,0.038453
2.5,0.045639,-0.027362,0.034732,0.020352,0.036711,-0.048205,0.036063
2.6,0.045488,-0.029088,0.037627,0.017967,0.040508,-0.048282,0.033972
2.7,0.046876,-0.029758,0.036545,0.01652,0.039886,-0.046582,0.035794
2.8,0.047684,-0.029706,0.035599,0.016087,0.039201,-0.045328,0.036359
2.9,0.048572,-0.029126,0.034264,0.016224,0.038506,-0.043684,0.03655
3,0.050132,-0.02813,0.031997,0.016442,0.036366,-0.041085,0.037328
3.1,0.050958,-0.027819,0.031055,0.015407,0.033272,-0.039889,0.03495
3.2,0.049981,-0.027418,0.03229,0.013649,0.037835,-0.039047,0.027321
3.3,0.047528,-0.025516,0.031683,0.018288,0.040388,-0.037571,0.027499
3.4,0.047759,-0.025546,0.032571,0.018555,0.038537,-0.035735,0.024979
3.5,0.046581,-0.025449,0.032408,0.018687,0.03498,-0.036235,0.02265
3.6,0.044853,-0.028451,0.030227,0.018178,0.026512,-0.039481,0.018361
3.7,0.041294,-0.027643,0.030018,0.01923,0.02355,-0.045229,0.019469
3.8,0.044567,-0.019198,0.031761,0.01677,0.031625,-0.042583,0.020456
3.9,0.044628,-0.019104,0.031944,0.017454,0.02995,-0.04323,0.018682
4,0.045087,-0.019157,0.030257,0.013301,0.030483,-0.044772,0.019112
4.1,0.046246,-0.019194,0.02987,0.0091197,0.031286,-0.045035,0.019785
4.2,0.048336,-0.018385,0.030427,0.0031214,0.033748,-0.044558,0.022538
4.3,0.052364,-0.016617,0.0309,-0.0013139,0.032333,-0.043672,0.029185
4.4,0.055514,-0.01509,0.033226,-0.0053637,0.029047,-0.050369,0.026591
4.5,0.055181,-0.0069524,0.0321,-0.010713,0.03181,-0.062411,0.02779
4.6,0.053657,0.00077833,0.031381,-0.017118,0.034856,-0.072995,0.026334
4.7,0.052277,0.0039569,0.031598,-0.021974,0.034002,-0.078629,0.019265
4.8,0.05093,0.0067137,0.031531,-0.020522,0.030486,-0.080967,0.015933
4.9,0.050252,0.0074743,0.031737,-0.017016,0.026688,-0.080269,0.014473
5,0.050056,0.0084871,0.03254,-0.015331,0.024893,-0.077539,0.010832
5.1,0.050652,0.0074195,0.031137,-0.011788,0.02125,-0.071896,0.01144
5.2,0.052641,0.0065597,0.031055,-0.010555,0.016741,-0.063753,0.01342
5.3,0.052553,0.0036859,0.028699,-0.0068055,0.014157,-0.05684,0.013685
5.4,0.05097,0.00086997,0.025905,-0.002324,0.011735,-0.05171,0.013289
5.5,0.044781,-0.0032146,0.027644,-0.0041016,0.013954,-0.049408,0.0080635
5.6,0.041585,-0.0030846,0.026192,0.005747,0.01405,-0.048337,0.0081612
5.7,0.040784,-0.0027837,0.025412,0.0089378,0.014855,-0.048147,0.0083171
5.8,0.041531,-0.0024469,0.023033,0.007369,0.017098,-0.04412,0.00522
5.9,0.0421,-0.0027641,0.023895,0.0024539,0.016742,-0.042527,0.0033398
6,0.042893,-0.0018973,0.025177,-0.0012222,0.018765,-0.04228,0.0015721
6.1,0.04207,0.00097598,0.026459,-0.0040064,0.021691,-0.04092,0.0012794
6.2,0.041034,0.00090656,0.02426,-0.0064331,0.022246,-0.039108,0.0011179
6.3,0.039914,-0.0021669,0.022834,-0.0060022,0.018984,-0.038121,0.00034231
6.4,0.038563,-0.0021202,0.022779,-0.0079363,0.01947,-0.03691,-0.00092258
6.5,0.038662,-0.0019069,0.022933,-0.0096445,0.020121,-0.036785,-0.0016653
6.6,0.038391,-0.0017457,0.022736,-0.0098638,0.020116,-0.036379,-0.0016764
6.7,0.036642,-0.0016222,0.022005,-0.0085943,0.019386,-0.034832,-0.0010381
6.8,0.033403,0.0011065,0.021137,-0.0075448,0.020362,-0.031495,0.00058035
6.9,0.032686,0.00098436,0.020707,-0.0071116,0.019931,-0.030986,0.00091008
7,0.032638,0.001066,0.020805,-0.0075833,0.019987,-0.030963,0.00097892
7.1,0.033598,0.0015302,0.021583,-0.0092443,0.020702,-0.031478,0.00079999
7.2,0.040538,0.0067441,0.021298,-0.013772,0.021244,-0.030525,0.0048517
7.3,0.044327,0.0090759,0.018575,-0.020245,0.022656,-0.037673,0.0080055
