"Time(s)"
19.1
29.3
45.1
63.1
74.6
89
110.9
127.3
137.3
148.2
166.2
178.1
198.7
212.4
222.8
233.7
244.7
259
270.5
281
291.5
316.5
327.3
337.5
348
369.6
380
391.4
401.8
415.7
426.2
445.3
457
467.5
493.6
505.4
528.9
540.9
551.3
561.4
572.8
594.8
606.5
659.7
675.1
693.1
703.3
714.1
728.7
747.3
758.7
778.3
824.8
841.3
867.6
894.3
953.8
1030.6
1047.9
1074.6
1087.1
1102.5
