Time(s)
2.6
14
21.6
29
43.6
53.6
55.1
67.4
75.5
78.2
89.1
99.1
99.9
128.9
140.2
150.2
151.7
158.7
159.5
160.9
163.8
172.5
211.1
223.4
235
242.5
244.1
245.5
254.1
256.3
267.2
275
276.4
278.1
287.5
289.5
322.7
330.3
331
332.7
334.1
342.8
344.7
356.6
367.3
377.9
424.1
431.1
433.1
435.7
454.6
468
479
487.9
515.8
567
604.9
614.5
615.9
626.4
633.4
634.1
636.5
644.7
646.2
647.6
653.3
822
834.1
842.9
843.9
848.6
897.7
910.1
918.8
921.7
930.2
937.7
968.8
1039
1052.9
1065.1
1126.9
1134.3
1138.5
