Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0.1,9.61E-03,-7.08E-05,6.44E-03,-3.57E-05,0.0032846,0.012106,-0.013107
0.2,8.74E-03,1.37E-04,6.15E-03,6.41E-05,0.003078,0.01184,-0.012519
0.3,8.07E-03,6.32E-04,6.60E-03,0.00039933,0.0025012,0.011796,-0.013218
0.4,8.42E-03,1.43E-03,6.01E-03,0.0014363,-0.00037253,0.011134,-0.014004
0.5,1.14E-02,1.97E-03,6.25E-03,0.0020151,-0.0032382,0.011184,-0.015407
0.6,1.58E-02,2.58E-03,7.19E-03,0.0022269,-0.0070613,0.011431,-0.016252
0.7,1.97E-02,4.90E-03,8.40E-03,0.0023078,-0.0098277,0.011539,-0.018115
0.8,2.35E-02,6.94E-03,9.46E-03,0.0025725,-0.011832,0.01053,-0.021335
0.9,2.50E-02,7.77E-03,9.24E-03,0.0037118,-0.011183,0.010373,-0.025267
1,2.59E-02,7.13E-03,8.90E-03,0.0044178,-0.012274,0.012236,-0.026256
1.1,2.60E-02,7.46E-03,8.92E-03,0.0044983,-0.012273,0.014054,-0.026981
1.2,2.67E-02,7.81E-03,9.72E-03,0.0040649,-0.010887,0.015361,-0.026699
1.3,2.75E-02,8.58E-03,1.07E-02,0.0034971,-0.0078393,0.016947,-0.026322
1.4,2.76E-02,9.43E-03,1.04E-02,0.0021743,-0.0078122,0.016055,-0.027394
1.5,2.74E-02,9.45E-03,1.03E-02,0.0025018,-0.0076762,0.015759,-0.027234
1.6,2.74E-02,8.70E-03,1.08E-02,0.0040072,-0.0064966,0.016047,-0.025859
1.7,2.75E-02,8.08E-03,1.05E-02,0.0055455,-0.0072515,0.016239,-0.024816
1.8,2.71E-02,7.70E-03,1.02E-02,0.0059741,-0.0079294,0.015496,-0.024559
1.9,2.69E-02,6.99E-03,1.00E-02,0.0061379,-0.0085985,0.014921,-0.023685
2,2.63E-02,6.42E-03,1.02E-02,0.0045518,-0.01003,0.013284,-0.023117
2.1,2.57E-02,5.46E-03,1.01E-02,0.0034487,-0.012619,0.01261,-0.021624
2.2,2.53E-02,4.87E-03,9.65E-03,0.002338,-0.014443,0.011343,-0.021619
2.3,2.48E-02,4.68E-03,8.69E-03,0.00073758,-0.014962,0.0093608,-0.023348
2.4,2.46E-02,4.24E-03,8.13E-03,0.00054008,-0.0158,0.0089406,-0.023613
2.5,2.44E-02,4.08E-03,7.71E-03,0.0010057,-0.016128,0.0091232,-0.023438
2.6,2.40E-02,4.53E-03,7.65E-03,0.0024662,-0.015648,0.010217,-0.022516
2.7,2.35E-02,5.28E-03,7.92E-03,0.0042652,-0.015055,0.011508,-0.021199
2.8,2.30E-02,6.29E-03,8.30E-03,0.0056849,-0.013991,0.012605,-0.020029
2.9,2.28E-02,6.94E-03,8.49E-03,0.0060105,-0.013106,0.01259,-0.019376
3,2.33E-02,8.72E-03,8.34E-03,0.0025686,-0.011556,0.0076722,-0.019142
3.1,2.39E-02,9.77E-03,8.51E-03,0.0015878,-0.010167,0.0056683,-0.019252
3.2,2.39E-02,9.66E-03,8.08E-03,0.001345,-0.009049,0.0048168,-0.019426
3.3,2.36E-02,8.82E-03,7.40E-03,0.0016329,-0.0077575,0.0044653,-0.019404
3.4,2.37E-02,6.76E-03,6.29E-03,0.0018586,-0.0066229,0.0046452,-0.01851
3.5,2.41E-02,4.38E-03,5.25E-03,0.0016837,-0.0057721,0.0041094,-0.017967
3.6,2.38E-02,2.15E-03,4.32E-03,0.0020097,-0.0052405,0.0023079,-0.017618
3.7,2.20E-02,3.15E-03,4.11E-03,0.0029148,-0.0035212,0.0012962,-0.017862
3.8,1.93E-02,4.67E-03,3.98E-03,0.003416,-0.0033927,-0.00037885,-0.017186
3.9,1.71E-02,5.27E-03,3.57E-03,0.0031956,-0.003079,-0.00055258,-0.016927
4,1.56E-02,5.77E-03,3.29E-03,0.0029185,-0.0030683,-0.00047708,-0.016789
4.1,1.42E-02,6.18E-03,3.02E-03,0.0027678,-0.0028452,-0.00050901,-0.016616
4.2,1.29E-02,6.43E-03,2.75E-03,0.0027517,-0.0023213,-0.00068925,-0.01642
4.3,1.17E-02,6.39E-03,2.50E-03,0.0027267,-0.0015981,-0.00098439,-0.016214
4.4,1.07E-02,6.00E-03,2.25E-03,0.0025783,-0.00061837,-0.0013731,-0.015968
4.5,1.04E-02,3.83E-03,2.22E-03,0.0018242,0.0014912,-0.0016993,-0.014126
4.6,1.20E-02,9.21E-04,2.15E-03,-0.0015694,0.0036631,-0.0036046,-0.0109
4.7,1.19E-02,6.41E-05,2.20E-03,-0.0030697,0.0042866,-0.0043917,-0.010596
