Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0.1,0.034625,-0.014748,-0.013449,-0.013135,0.011586,0.00051737,0.0061962
0.2,0.033284,-0.014874,-0.014129,-0.013994,0.011387,-0.0041073,0.0087165
0.3,0.032984,-0.014812,-0.015478,-0.013319,0.0112,-0.0043861,0.0092821
0.4,0.03285,-0.01481,-0.016793,-0.012423,0.01105,-0.0040088,0.0096577
0.5,0.03288,-0.015002,-0.017788,-0.011709,0.010979,-0.0031559,0.010023
0.6,0.032937,-0.015292,-0.018354,-0.011311,0.010982,-0.0025736,0.010411
0.7,0.032772,-0.015413,-0.018558,-0.010802,0.011071,-0.0030211,0.010493
0.8,0.031961,-0.014521,-0.018896,-0.0082284,0.011284,-0.0071442,0.010563
0.9,0.031234,-0.014067,-0.018377,-0.0075257,0.011481,-0.0093619,0.0093327
1,0.03049,-0.013485,-0.016314,-0.0089173,0.011659,-0.0076263,0.0072355
1.1,0.030801,-0.012927,-0.015799,-0.0097019,0.011476,-0.0052972,0.0056158
1.2,0.031352,-0.012621,-0.015704,-0.01031,0.011243,-0.0030521,0.0046028
1.3,0.032358,-0.012316,-0.017268,-0.0074864,0.010134,-0.0039963,0.0017811
1.4,0.032943,-0.012156,-0.016964,-0.0069359,0.010849,-0.0038075,0.00056995
1.5,0.033381,-0.011766,-0.016893,-0.0061591,0.010932,-0.0049056,-0.00030825
1.6,0.033644,-0.011309,-0.016697,-0.005761,0.010812,-0.0059267,-0.00068314
1.7,0.033533,-0.011161,-0.016976,-0.0054417,0.0099992,-0.0075691,-0.00037989
1.8,0.033203,-0.01131,-0.017388,-0.0051405,0.0095341,-0.0083254,0.00041976
1.9,0.032362,-0.0124,-0.018251,-0.0048934,0.0093698,-0.010028,0.0013554
2,0.032105,-0.012381,-0.018622,-0.0047344,0.0091586,-0.0096259,0.0014027
2.1,0.032095,-0.01236,-0.018661,-0.0047431,0.0091651,-0.0092379,0.0013224
2.2,0.034136,-0.012031,-0.015992,-0.0035083,0.0093113,-0.0048526,0.0023381
2.3,0.035501,-0.010993,-0.013952,-0.0023608,0.0095045,-0.00499,0.0047631
2.4,0.036719,-0.010889,-0.012221,-0.0015891,0.0097257,-0.0057632,0.0072714
2.5,0.037782,-0.011414,-0.010047,-0.0014666,0.010108,-0.0064674,0.009536
2.6,0.038196,-0.011891,-0.0085473,-0.0017544,0.010417,-0.0068727,0.010711
2.7,0.038049,-0.012163,-0.0082584,-0.002047,0.01059,-0.0069042,0.010604
2.8,0.037734,-0.01395,-0.0086662,-0.0024511,0.010884,-0.0052506,0.0096804
2.9,0.037005,-0.014223,-0.0089485,-0.0030508,0.011191,-0.0059118,0.008663
3,0.036171,-0.014262,-0.008967,-0.003926,0.011395,-0.0065839,0.0075555
3.1,0.035429,-0.014239,-0.0089279,-0.0048115,0.011415,-0.0064472,0.006318
3.2,0.03494,-0.013885,-0.0090093,-0.0051337,0.011048,-0.0051217,0.0047796
3.3,0.033951,-0.013847,-0.0076999,-0.0063924,0.0093535,-0.0027083,0.0057835
3.4,0.03519,-0.013043,-0.008592,-0.0054263,0.0090677,-0.00083881,0.0053894
3.5,0.035244,-0.012405,-0.0086691,-0.0048935,0.0092243,-0.00091237,0.0049029
3.6,0.035246,-0.012208,-0.0085188,-0.0047843,0.0093122,-0.001066,0.0049434
3.7,0.034097,-0.011888,-0.007522,-0.0049432,0.0094489,-0.0027142,0.005753
3.8,0.033889,-0.011999,-0.0069815,-0.0052235,0.0093995,-0.002733,0.006054
3.9,0.035273,-0.010819,-0.0069451,-0.0069529,0.0086069,-0.0032623,0.0047375
4,0.03743,-0.010097,-0.0076571,-0.0077454,0.0076227,-0.0029436,0.0037829
4.1,0.038596,-0.0089879,-0.0075084,-0.0086205,0.0065742,-0.0045265,0.003919
4.2,0.03927,-0.0080769,-0.0070876,-0.0098173,0.0053093,-0.0097549,0.006263
4.3,0.041242,-0.0066767,-0.0091951,-0.004877,0.0039483,-0.013445,0.0030796
4.4,0.040493,-0.0070746,-0.0068224,-0.0084217,0.0034285,-0.013715,0.0068054
4.5,0.040499,-0.0069316,-0.0069951,-0.0077606,0.002812,-0.013286,0.0060152
4.6,0.040493,-0.0067579,-0.00716,-0.0084107,0.0023182,-0.01177,0.0052511
4.7,0.039887,-0.0070694,-0.0074276,-0.0086677,0.0025948,-0.010885,0.005198
4.8,0.039129,-0.0073806,-7.83E-03,-0.0084799,0.0026066,-0.01043,0.0050411
4.9,0.038647,-0.0076052,-0.0080788,-0.0082705,0.0022616,-0.0099249,0.0044034
5,0.038593,-0.0069341,-0.0082518,-0.0059769,0.00028505,-0.0087913,0.000554
5.1,0.038456,-0.0073256,-8.43E-03,-0.0060618,-7.31E-05,-0.0076943,0.0001615
5.2,0.038198,-0.0080549,-8.61E-03,-0.0062642,-0.00062754,-0.0065734,-0.00027526
5.3,0.0383,-0.010672,-8.53E-03,-0.006682,-0.0025902,-0.0048143,-0.0001773
5.4,0.037791,-0.013695,-9.20E-03,-0.0063976,-0.0052731,-0.0046223,-0.0012756
5.5,0.037393,-0.018111,-0.011533,-0.0071394,-0.007287,-0.0065754,-0.0011861
5.6,0.037457,-0.020959,-1.31E-02,-0.007915,-0.0083934,-0.0083762,-0.0011557
5.7,0.038401,-0.022724,-1.43E-02,-0.0094491,-0.0080394,-0.010493,7.87E-05
5.8,0.04013,-0.023262,-0.015019,-0.011534,-0.0073665,-0.011659,0.0012082
5.9,0.042122,-0.022894,-0.015064,-0.013822,-0.0062016,-0.012096,0.0024223
6,0.044181,-0.020768,-0.014296,-0.015937,-0.005538,-0.01162,0.0011146
6.1,0.044294,-0.020413,-0.013802,-0.016118,-0.0047123,-0.011895,0.00032302
6.2,0.043027,-0.021139,-0.011812,-0.016735,-0.0025909,-0.012761,4.21E-05
6.3,0.042063,-0.021582,-0.011507,-0.016298,-0.0015823,-0.014121,0.00046281
6.4,0.041477,-0.022323,-0.011608,-0.016787,-0.00086725,-0.014084,0.00093952
6.5,0.041025,-0.023237,-0.011877,-0.018282,-0.00042053,-0.013123,0.0012495
6.6,0.041234,-0.021399,-0.014462,-0.016294,-0.0029046,-0.018695,-0.0001402
6.7,0.041248,-0.021854,-0.013788,-0.017546,-0.0029361,-0.01785,-0.0011101
6.8,0.041162,-0.022047,-0.013073,-0.017133,-0.0028276,-0.017551,-0.002134
6.9,0.040997,-0.022588,-0.014392,-0.010639,-0.0016417,-0.018066,-0.004106
7,0.039923,-0.022122,-0.013374,-0.01326,-0.002144,-0.015993,-0.0042144
7.1,0.039097,-0.021507,-0.014858,-0.012151,-0.0029391,-0.015027,-0.0068005
7.2,0.038157,-0.023328,-0.01532,-0.012413,-0.0024924,-0.013313,-0.0078168
7.3,0.037869,-0.025512,-0.015274,-0.013292,-0.0018504,-0.010981,-0.0076077
7.4,0.038148,-0.027881,-0.015048,-0.015023,-0.00053119,-0.0065627,-0.0063786
7.5,0.039439,-0.029005,-0.015114,-0.016559,-0.00023844,-0.0017216,-0.0071483
7.6,0.038837,-0.029122,-0.015004,-0.016207,0.0011103,-0.00029911,-0.0052931
7.7,0.038878,-0.026483,-0.015586,-0.014797,0.00025765,0.0020195,-0.004485
7.8,0.038077,-0.025694,-0.016111,-0.010898,-0.0007979,-0.00015208,-0.0070203
7.9,0.037733,-0.024771,-1.63E-02,-0.0093166,-0.0012319,-0.0008918,-0.0080295
8,0.03653,-0.022904,-1.71E-02,-0.0082675,0.0022274,-0.00088683,-0.010067
8.1,0.036095,-0.023499,-0.016867,-0.0079064,0.0036416,-0.0046408,-0.009462
8.2,0.036299,-0.023523,-1.65E-02,-0.0081073,0.0059167,-0.0064885,-0.010032
8.3,0.036783,-0.02382,-1.54E-02,-0.0092804,0.0091325,-0.0078235,-0.010809
8.4,0.037225,-0.02397,-1.46E-02,-0.010313,0.011636,-0.0081962,-0.011614
8.5,0.037789,-0.022378,-1.46E-02,-0.010868,0.012164,-0.0045174,-0.013521
8.6,0.037814,-0.020754,-0.015837,-0.0097496,0.011179,-0.0022586,-0.014752
8.7,0.037165,-0.020634,-0.018171,-0.0039335,0.012402,-0.0047497,-0.015007
8.8,0.036526,-0.019287,-0.018588,-0.0047773,0.01103,-0.0053924,-0.015843
8.9,0.035534,-0.018539,-0.019167,-0.0042161,0.011092,-0.007332,-0.016334
9,0.034691,-0.016937,-0.019298,-0.005956,0.010239,-0.0070246,-0.017115
9.1,0.032488,-0.015606,-0.018698,-0.0095079,0.013696,-0.009896,-0.015952
9.2,0.030755,-0.015546,-0.01936,-0.013311,0.016399,-0.011354,-0.014784
9.3,0.029906,-0.01578,-2.02E-02,-0.015881,0.017596,-0.012091,-0.014253
9.4,0.029497,-0.015568,-1.98E-02,-0.016184,0.017127,-0.012969,-0.013766
9.5,0.029225,-0.015173,-0.018344,-0.015297,0.015794,-0.013847,-0.012976
9.6,0.029194,-0.014713,-0.016873,-0.014922,0.014508,-0.013165,-0.012195
9.7,0.029138,-0.014355,-0.015865,-0.015225,0.013634,-0.01187,-0.011482
9.8,0.027889,-0.015283,-0.015733,-0.016839,0.012255,-0.0064663,-0.0086521
9.9,0.027799,-0.015341,-0.016485,-0.016176,0.011552,-0.0052384,-0.0079627
10,0.027802,-0.015533,-0.017598,-0.013849,0.011525,-0.0048001,-0.0073525
10.1,0.02777,-0.015461,-0.018685,-0.012752,0.010911,-0.004128,-0.0072087
10.2,0.027214,-0.014986,-0.021527,-0.011712,0.0099627,-0.0047491,-0.0074942
10.3,0.026501,-0.01506,-0.022304,-0.011766,0.009985,-0.0033683,-0.0086728
10.4,0.025525,-0.015757,-0.021419,-0.013121,0.010995,0.0005007,-0.011186
10.5,0.024116,-0.015627,-0.02134,-0.01351,0.012191,0.0012758,-0.013211
10.6,0.022377,-0.015269,-0.02046,-0.01567,0.012996,0.00093255,-0.013762
10.7,0.020662,-0.014114,-0.02004,-0.016023,0.013416,-0.0015814,-0.014492
10.8,0.018597,-0.013664,-0.017878,-0.020231,0.012453,-0.0027558,-0.013235
10.9,0.017993,-0.013255,-0.017372,-0.020209,0.012169,-0.001655,-0.013686
11,0.017348,-0.012607,-0.016734,-0.019825,0.01156,-3.91E-05,-0.013709
11.1,0.015622,-0.010967,-0.016262,-0.018897,0.010181,0.0018745,-0.015235
11.2,0.014847,-0.010317,-0.015798,-0.017953,0.010014,0.0012549,-0.014685
11.3,0.014467,-0.0099383,-0.015848,-0.017053,0.010277,0.0009669,-0.014881
11.4,0.014255,-0.009737,-0.015718,-0.016376,0.010314,0.00097105,-0.014242
11.5,0.013401,-0.0091696,-0.015113,-0.015356,0.010275,0.0001056,-0.013621
11.6,0.012148,-0.0084052,-0.014228,-0.014328,0.0102,-0.0010222,-0.01318
11.7,0.011044,-0.0078573,-0.013503,-0.013558,0.010099,-0.0023678,-0.013066
11.8,0.01057,-0.007498,-0.013168,-0.012978,0.010177,-0.0029547,-0.012407
11.9,0.0099565,-0.0073795,-0.012811,-0.012436,0.010263,-0.0036024,-0.012664
12,0.0096591,-0.007762,-0.012575,-0.012649,0.0099277,-0.0037271,-0.013487
12.1,0.0084837,-0.010082,-0.012278,-0.012552,0.0090208,-0.0040199,-0.016073
12.2,0.0083113,-0.010133,-0.012162,-0.013343,0.0084559,-0.0047309,-0.016302
12.3,0.0078124,-0.010188,-0.012226,-0.014012,0.0077555,-0.0059878,-0.016147
12.4,0.0080422,-0.0079062,-0.011793,-0.015814,0.0082067,-0.0058642,-0.014271
12.5,0.0071964,-0.007885,-0.011383,-0.015834,0.0084308,-0.0063023,-0.014171
12.6,0.0054971,-0.009926,-0.011506,-0.014361,0.0081726,-0.0076297,-0.01535
12.7,0.0047763,-0.0097128,-0.011132,-0.014346,0.0085971,-0.0076303,-0.014905
12.8,0.0054433,-0.0076249,-0.010501,-0.015951,0.0093736,-0.0068395,-0.013214
12.9,0.0057934,-0.0087095,-0.010011,-0.018458,0.0079875,-0.0053363,-0.013093
13,0.0058843,-0.0088633,-0.0097874,-0.019205,0.0076615,-0.0045159,-0.01311
13.1,0.0056167,-0.0089618,-0.0095919,-0.018761,0.0080336,-0.0039684,-0.013298
13.2,0.0041456,-0.010493,-0.010467,-0.015592,0.0068233,-0.0051177,-0.01435
13.3,0.0048075,-0.010425,-0.010464,-0.014821,0.0077076,-0.0036558,-0.01438
13.4,0.0044733,-0.010188,-0.010229,-0.014124,0.0091756,-0.0015969,-0.015162
13.5,0.0037803,-0.0097431,-0.0098904,-0.0137,0.010601,0.00012013,-0.016012
13.6,0.002824,-0.0089221,-9.71E-03,-0.013128,0.012386,0.0010491,-0.018056
13.7,0.0051814,-0.0062193,-0.0092319,-0.015506,0.011926,0.00074791,-0.017789
13.8,0.0078528,-0.0049344,-0.0097071,-0.019332,0.012811,0.00029937,-0.016192
13.9,0.010072,-0.0044356,-0.010496,-0.022079,0.014673,0.00091593,-0.015114
14,0.009847,-0.0036567,-1.04E-02,-0.022245,0.016032,0.0035794,-0.015854
14.1,0.0079835,-0.003191,-9.82E-03,-0.021155,0.016713,0.0070714,-0.017401
14.2,0.0048238,-0.0023375,-0.0088854,-0.019685,0.016508,0.010383,-0.020419
14.3,0.002752,-0.0022153,-0.0083566,-0.018226,0.016041,0.011133,-0.021016
14.4,0.0014266,-0.0022402,-7.91E-03,-0.017341,0.015713,0.011145,-0.020475
14.5,0.0011423,-0.0020077,-6.43E-03,-0.016726,0.015131,0.012325,-0.019011
14.6,-0.00023105,-0.0022452,-6.02E-03,-0.016296,0.014933,0.011594,-0.017543
14.7,-0.002623,-0.0025499,-5.53E-03,-0.015428,0.014651,0.010718,-0.015951
14.8,-0.0059292,-0.0034864,-0.0046911,-0.014742,0.014347,0.0098792,-0.013795
14.9,-0.008802,-0.0041374,-0.0044327,-0.014184,0.014444,0.0093443,-0.012472
15,-0.016907,-0.01333,-0.00043527,-0.014368,0.013187,0.011102,-0.010422
15.1,-0.0098049,-0.010343,-0.002881,-0.013398,0.014997,0.0068458,-0.015439
15.2,-0.0063142,-0.010922,-0.0036084,-0.014262,0.012437,0.0049026,-0.015893
15.3,-0.0049509,-0.011081,-0.003959,-0.014375,0.011827,0.0041908,-0.016043
15.4,-0.0040963,-0.010434,-4.55E-03,-0.015289,0.011618,0.0031882,-0.015413
15.5,-0.0027369,-0.010368,-4.24E-03,-0.015236,0.011403,0.0025088,-0.014885
15.6,-0.00051909,-0.010203,-3.60E-03,-0.015163,0.011151,0.0016017,-0.014296
15.7,0.003029,-0.0093881,-3.22E-03,-0.013422,0.012227,-0.00026999,-0.014227
15.8,0.0059548,-0.0093804,-4.94E-03,-0.012448,0.011975,-0.0038008,-0.011643
15.9,0.011796,-0.0066626,-4.69E-03,-0.01481,0.0060621,-0.0081226,-0.0092223
16,0.01703,-0.0061966,-6.31E-03,-0.012094,0.0059832,-0.0036611,-0.0083804
16.1,0.018729,-0.0062949,-7.63E-03,-0.010438,0.0065726,-0.0036942,-0.0052534
16.2,0.020479,-0.0055776,-7.87E-03,-0.0093098,0.0056922,-0.00074477,-0.0060483
16.3,0.01946,-0.0042153,-5.86E-03,-0.010945,0.0041379,-0.0036425,-0.0099177
16.4,0.021044,-0.0048816,-7.55E-03,-0.0085054,0.0055726,0.00056474,-0.0067769
