Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0,0.038294,0.016838,-0.022649,0.0026599,-0.0020316,0.02687,-0.0091314
0.1,0.038142,0.016741,-0.022556,0.0026818,-0.0019911,0.026745,-0.009257
0.2,0.037827,0.016582,-0.022375,0.0027572,-0.0019226,0.026484,-0.0094693
0.3,0.036714,0.016085,-0.021899,0.0031641,-0.0018868,0.02619,-0.01012
0.4,0.036142,0.01586,-0.021526,0.003174,-0.0018077,0.025749,-0.010531
0.5,0.035141,0.016642,-0.020176,0.0030395,-0.002327,0.025188,-0.011125
0.6,0.037951,0.017832,-0.015232,0.00033019,-0.0014941,0.017349,-0.012747
0.7,0.038678,0.017824,-0.013831,0.00022609,-0.0021213,0.016112,-0.013356
0.8,0.040443,0.017753,-0.014632,0.0022782,-0.0020305,0.014015,-0.011442
0.9,0.040422,0.016928,-0.016901,0.005094,-0.00070277,0.011005,-0.010622
1,0.040112,0.015242,-0.015924,0.0024392,-0.00030018,0.012228,-0.011867
1.1,0.039832,0.015634,-0.014119,0.00052544,-0.00061664,0.011656,-0.014189
1.2,0.041674,0.016761,-0.012485,8.87E-05,-0.0011556,0.0077964,-0.014716
1.3,4.39E-02,0.01772,-0.012311,-0.00027375,0.00036553,0.0036123,-0.017642
1.4,4.60E-02,0.018915,-0.0098904,-0.0017526,0.0017476,0.0016038,-0.021074
1.5,0.047749,0.019973,-0.0072096,-0.0038118,0.003189,0.00012493,-0.024144
1.6,0.048472,0.02101,-0.004147,-0.0058859,0.0044611,-6.42E-05,-0.026339
1.7,0.047455,0.021833,-0.0019856,-0.01005,0.0060757,-0.0012882,-0.026663
1.8,0.047237,0.020606,-0.0029153,-0.011806,0.006317,-0.0049103,-0.026472
1.9,0.048251,0.019974,-0.0026567,-0.01549,0.0052727,-0.0059331,-0.025691
2,0.050227,0.019052,-0.0019345,-0.018987,0.0034313,-0.0056481,-0.025189
2.1,0.053945,0.021204,-0.00026746,-0.021693,-0.0010454,-0.005505,-0.025542
2.2,0.054304,0.021279,-0.0029566,-0.021486,-0.0017157,-0.0045016,-0.024561
2.3,0.052093,0.02115,-0.0075542,-0.016895,-0.0039028,-0.0040149,-0.023148
2.4,0.052195,0.021153,-0.0084131,-0.014344,-0.0064635,-0.0018769,-0.023509
2.5,0.053977,0.021202,-0.0069254,-0.013772,-0.0097626,-0.0031143,-0.021465
2.6,0.056428,0.022731,-0.003942,-0.015465,-0.013476,-0.00022963,-0.023121
2.7,0.056238,0.02378,-0.0049126,-0.014291,-0.01418,-0.0011501,-0.023052
