"Time(s)"
32.6
44.8
65.4
77
88.9
101.6
189.1
201.3
212.8
224.4
236
249.4
288.7
300.1
312.6
323.8
335.1
347.9
359.2
378.4
392.1
417.5
429.4
442.7
454.4
467.7
479.7
530.9
542.7
556.1
567.8
581
623.1
634.6
706.9
719.3
731.5
762.2
774
840.7
852.9
864.6
877
888.9
972.2
986.5
999.4
1030.3
1131.4
1144.9
1176.5
1188.2
