Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0.1,-0.061296,0.0048527,-0.029751,-0.026473,-0.007943,-0.012069,-0.01858
0.2,-0.061263,0.0047962,-0.029974,-0.026375,-0.0083397,-0.011858,-0.018091
0.3,-0.062934,6.23E-05,-0.028256,-0.023352,-0.0044555,-0.0079322,-0.015369
0.4,-0.063705,-0.0022353,-0.027454,-0.022069,-0.0013014,-0.0071874,-0.013926
0.5,-0.062406,-0.0010894,-0.027076,-0.022192,-0.0041818,-0.0091274,-0.0065326
0.6,-0.06315,-0.0009002,-0.022911,-0.019665,0.00029082,-0.011166,-0.006546
0.7,-0.063636,-0.0014472,-0.01969,-0.016841,0.0029503,-0.010942,-0.0089273
0.8,-0.064395,-0.0058854,-0.018675,-0.0055278,0.00026017,-0.0045058,-0.0099897
0.9,-0.064772,-0.0063409,-0.017497,-0.0012362,-0.0020373,-0.0035155,-0.011681
1,-0.065678,-0.0059045,-0.015697,0.0011873,-0.00082292,-0.0048949,-0.016358
1.1,-0.065907,-0.0048307,-0.014565,0.0022354,-0.00069989,-0.0074324,-0.020281
1.2,-0.064185,-0.0023066,-0.015835,0.0017504,-0.0056966,-0.011856,-0.021108
1.3,-0.06324,0.00064357,-0.013839,-0.0030802,-0.0096764,-0.0155,-0.019434
1.4,-0.062409,0.0031736,-0.011227,-0.0085745,-0.015039,-0.017471,-0.015269
1.5,-0.06088,0.0031133,-0.011271,-0.00997,-0.019823,-0.017111,-0.01154
1.6,-0.060196,-0.00089177,-0.0095154,-0.0069267,-0.014112,-0.016157,-0.012868
1.7,-0.058031,-0.0027136,-0.012449,-0.0063758,-0.013168,-0.014922,-0.012246
1.8,-0.05683,-0.0030027,-0.01611,-0.0080564,-0.0085848,-0.014453,-0.012552
1.9,-0.058034,-0.0039191,-0.017624,-0.0053713,-0.001972,-0.01034,-0.019028
2,-0.056763,-0.0037981,-0.019658,-0.0040914,-0.004462,-0.0070147,-0.016893
2.1,-0.053412,-0.0010762,-0.019281,-0.0082449,-0.0148,-0.0091854,-0.0052763
2.2,-0.05291,-0.00085749,-0.023302,-0.0065654,-0.023974,-0.0028245,-0.0047357
2.3,-0.053534,-0.00058482,-0.022876,-0.0056416,-0.021163,-0.0026813,-0.0058438
2.4,-0.052315,-0.00075157,-0.021712,-0.0065989,-0.015482,-0.0067771,-0.0055014
2.5,-0.054024,0.0016501,-0.02138,-0.0076268,-0.0054644,-0.010936,-0.0082562
2.6,-0.057108,0.0049391,-0.025501,-0.0044812,-0.0043942,-0.0085548,-0.0081645
2.7,-0.058775,0.0032856,-0.02098,-0.0014291,0.0014552,-0.006844,-0.0066845
2.8,-0.058322,0.0037065,-0.020448,0.0026737,-0.0058246,-5.88E-05,0.0068737
2.9,-0.058569,0.0018198,-0.017953,0.0040706,-0.0041935,0.0017553,0.0076462
3,-0.059245,-0.0020648,-0.012344,0.0061829,-0.00017299,0.0041571,0.0036175
3.1,-0.057343,-0.0047453,-0.011441,0.011517,-0.0087455,0.0089157,0.0045988
3.2,-0.056922,-0.0061897,-0.009813,0.012963,-0.011292,0.0096736,0.003601
3.3,-0.0552,-0.0056156,-0.010678,0.012428,-0.019346,0.0083213,0.0011017
3.4,-0.054232,-0.0072502,-0.010773,0.013783,-0.022139,0.0089075,-0.00095339
3.5,-0.053305,-0.0083337,-0.011006,0.014327,-0.0222,0.009293,-0.0013867
3.6,-0.053068,-0.0078347,-0.015782,0.011791,-0.020933,0.0057941,0.0012385
3.7,-0.052981,-0.0090781,-0.018397,0.010942,-0.015739,0.0047913,0.0047511
3.8,-0.051016,-0.0079229,-0.02422,0.0093657,-0.019271,0.00083954,0.0071795
3.9,-0.049779,-0.0072589,-0.028306,0.0076573,-0.01982,-0.002951,0.008051
4,-0.048286,-0.0072019,-0.033965,0.0085304,-0.021337,-0.0077019,0.0059974
4.1,-0.048379,-0.0058228,-0.037216,0.0078209,-0.019752,-0.009765,0.0060555
4.2,-0.050258,-0.0018925,-0.038622,0.004668,-0.010829,-0.01403,0.0073905
4.3,-0.051475,0.00012693,-0.040103,0.0044022,-0.0081505,-0.012987,0.0079871
4.4,-0.051845,-0.0018257,-0.038203,0.0032918,-0.0049781,-0.0095162,0.013868
4.5,-0.052044,-0.0023135,-0.037102,0.0028564,-0.0040423,-0.0084342,0.015452
4.6,-0.050674,-0.0047307,-0.033522,-2.26E-05,-0.00093153,-0.010953,0.017506
4.7,-0.049581,-0.0075486,-0.031068,-0.0015544,0.0021261,-0.012708,0.018368
4.8,-0.04807,-0.011997,-0.027889,-0.0037108,0.0063988,-0.01442,0.019563
4.9,-0.047956,-0.015277,-0.027156,-0.0019506,0.0078939,-0.014425,0.02249
5,-0.047295,-0.018141,-0.027035,-0.00059445,0.005964,-0.014172,0.023926
5.1,-0.045569,-0.02181,-0.027069,0.0013147,0.005243,-0.012175,0.019461
5.2,-0.043999,-0.018591,-0.029141,-0.0039901,0.0027817,-0.016133,0.015452
5.3,-0.043794,-0.016978,-0.032324,-0.0083003,0.0019325,-0.018392,0.014874
5.4,-0.046932,-0.016058,-0.043896,-0.0073759,-0.0003468,-0.014977,0.014358
5.5,-0.049993,-0.01694,-0.049132,-0.0033103,0.002464,-0.010155,0.0132
5.6,-0.04944,-0.017261,-0.050395,-0.0012935,0.0033406,-0.0071289,0.01449
5.7,-0.047756,-0.016901,-0.049563,0.00042473,0.004768,-0.0067681,0.013401
5.8,-0.047333,-0.016132,-0.044057,-0.004484,0.0099204,-0.013559,0.016304
5.9,-0.047581,-0.017288,-0.034633,-0.0035308,0.017018,-0.019463,0.0057747
6,-0.045108,-0.017339,-0.033757,-0.0016427,0.014191,-0.01864,0.004227
