Time(s)
17.9
31.3
42.1
54.2
67.1
111.5
167.2
178.2
189.4
203.7
214.3
228.1
239.2
253.4
265.1
277.4
291.4
303.6
315.3
372.8
388.3
401.9
413.4
426
494.8
505.7
517.3
529.3
563.6
643.5
654.6
666.3
703.6
717.4
730.8
788.6
918.5
961.4
981.1
1134.7
