Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0.1,0.11205,0.0099683,0.034413,0.049839,-0.060323,0.051739,0.023618
0.2,0.11069,0.0050513,0.034125,0.046024,-0.060299,0.046881,0.029858
0.3,0.11056,0.0016452,0.033034,0.046787,-0.058294,0.042397,0.028303
0.4,0.10666,0.0068144,0.024915,0.032438,-0.064398,0.036296,0.021681
0.5,0.10735,0.0036932,0.025013,0.030341,-0.061187,0.034864,0.01402
0.6,0.10752,0.0033123,0.024585,0.027342,-0.063408,0.029407,0.012289
0.7,0.10826,-0.0014936,0.027421,0.035423,-0.060431,0.023056,0.0084426
0.8,1.09E-01,-0.0026618,0.027913,0.038436,-0.06133,0.023914,0.0013498
0.9,0.10866,-1.15E-03,0.027854,0.038446,-0.062349,0.025552,-0.0024505
1,0.10849,1.49E-03,0.026383,0.037432,-0.063022,0.028186,-0.0029834
1.1,0.10672,8.55E-03,0.026129,0.032636,-0.064185,0.028086,0.004169
1.2,0.10652,0.0093206,0.024955,0.030944,-0.06064,0.032093,0.0069428
1.3,0.10674,0.0064907,0.025031,0.036339,-0.056512,0.029448,0.0095784
1.4,0.10796,0.0029568,0.026931,0.040629,-0.051047,0.024597,0.005044
1.5,0.10841,0.0018032,0.030228,0.041843,-0.049218,0.027075,0.0014631
1.6,0.1116,-0.0019416,0.036022,0.042226,-0.045252,0.023721,0.0038148
1.7,0.1134,-0.00058797,0.038959,0.040302,-0.045873,0.023678,0.0016174
1.8,0.11389,0.0048428,0.03854,0.034262,-0.052148,0.023838,0.0020649
1.9,0.11293,0.0072858,0.037649,0.027035,-0.056413,0.022258,0.0087785
2,0.11006,0.0071679,0.037364,0.027242,-0.057533,0.019024,0.01891
2.1,0.10964,0.0087293,0.040209,0.024729,-0.055492,0.018935,0.023324
2.2,0.1098,0.0049177,0.047234,0.027687,-0.050852,0.018939,0.023422
2.3,0.10933,0.014304,0.050218,0.028869,-0.045732,0.018616,0.011362
2.4,0.11027,0.010067,0.055522,0.02938,-0.043094,0.014254,0.0096076
2.5,0.11161,0.0074703,0.058773,0.026455,-0.03814,0.015173,0.011887
2.6,0.11204,0.0058961,0.05921,0.016954,-0.045778,0.025809,0.011039
2.7,0.11197,0.0034703,5.57E-02,0.030152,-0.037733,0.023783,0.0068583
2.8,0.11162,0.0045475,0.052035,0.037654,-0.033528,0.01839,0.0072308
2.9,0.11019,0.01115,0.048916,0.019711,-0.046061,0.024063,0.0014857
3,0.11171,0.0055986,0.044934,0.016932,-0.045074,0.022895,-0.0023108
3.1,0.11482,-0.0038139,0.036203,0.0087145,-0.047221,0.017542,-0.0015629
3.2,0.11423,-0.011725,0.035093,0.013611,-0.040117,0.012731,-0.00375
3.3,0.11288,-0.0095205,0.032174,0.013928,-0.037215,0.013551,-0.0036134
3.4,0.10951,-0.0083775,0.031599,0.018096,-0.036492,0.011873,0.005933
3.5,0.1101,-0.0015764,0.031361,0.015923,-0.041069,0.015981,0.0082063
3.6,0.11223,-0.00030478,3.82E-02,0.018295,-0.033764,0.021496,0.0072686
3.7,0.11238,-0.00013468,0.041371,0.019946,-0.032186,0.020338,0.008941
3.8,0.11274,0.0019734,0.041361,0.0096879,-0.036694,0.015608,0.012608
3.9,0.11125,0.0048939,0.041361,0.003286,-0.041201,0.015948,0.011039
4,0.10595,0.0092644,0.040054,0.0016233,-0.048288,0.015534,0.01716
4.1,0.10269,0.013368,3.82E-02,0.0011564,-0.047846,0.018835,0.018608
4.2,0.1013,0.012792,0.037761,0.0038266,-0.044539,0.0191,0.017638
4.3,0.10098,0.011458,0.039213,0.0077718,-0.038035,0.017925,0.01961
4.4,0.098689,0.0069214,0.037599,0.014598,-0.032422,0.022492,0.020757
4.5,0.097664,0.011039,0.03445,0.013656,-0.032527,0.023813,0.022057
4.6,0.095565,0.013919,0.029864,0.014724,-0.034001,0.025222,0.018639
4.7,0.093581,0.01208,0.031141,0.018577,-0.030154,0.024681,0.016959
4.8,0.091636,0.012236,0.031984,0.0201,-0.027733,0.024738,0.0164
4.9,0.088419,0.011411,0.031855,0.022365,-0.02591,0.026687,0.012215
5,0.086621,0.011287,0.034209,0.021916,-0.025057,0.025539,0.013536
5.1,0.085412,0.0099694,0.034719,0.023387,-0.025174,0.021597,0.015481
5.2,0.083208,0.011161,0.032061,0.021901,-0.030002,0.016537,0.01811
5.3,0.083592,0.014435,0.036593,0.019814,-0.029866,0.010447,0.019854
5.4,0.084953,0.015077,0.04036,0.017974,-0.026682,0.0087098,0.021141
5.5,0.087293,0.019606,4.01E-02,0.01773,-0.027526,0.0039668,0.021873
5.6,0.087684,0.023258,0.045597,0.018687,-0.028029,-0.0011218,0.019816
5.7,0.088402,0.026353,0.048847,0.0193,-0.027543,-0.0048786,0.019477
5.8,0.08873,0.029014,0.051864,0.019494,-0.027256,-0.008324,0.019499
5.9,0.087527,0.033828,0.058607,0.018701,-0.028812,-0.016327,0.020934
6,0.088197,0.037517,0.066682,0.017226,-0.028971,-0.023483,0.023441
6.1,0.089528,0.039321,7.25E-02,0.014287,-0.029748,-0.0281,0.0266
6.2,0.090176,0.040994,7.79E-02,0.012507,-0.030993,-0.032009,0.029464
6.3,0.088689,0.043407,0.082001,0.008774,-0.034652,-0.033212,0.033985
6.4,0.08543,0.042439,0.083274,0.0047979,-0.038101,-0.034527,0.03824
6.5,0.083396,0.041955,0.083394,-4.41E-05,-0.041102,-0.036026,0.041419
6.6,0.080864,0.040495,0.083013,-0.0028935,-0.042644,-0.036294,0.043742
6.7,0.077917,0.040365,0.084166,-0.0043397,-0.044085,-0.037289,0.045446
6.8,0.072525,0.040047,0.086849,-0.0025628,-0.044196,-0.038562,0.04655
6.9,0.065894,0.037777,0.092389,0.00043474,-0.043233,-0.039126,0.047857
7,0.062979,0.037827,0.09476,-0.0013655,-0.042113,-0.040819,0.048034
7.1,0.058139,4.04E-02,0.09509,-0.0067675,-0.043033,-0.047196,0.047328
7.2,0.054709,0.040582,0.094324,-0.010255,-0.043419,-0.055202,0.043848
7.3,0.051446,0.039152,0.094156,-0.010418,-0.043528,-0.061149,0.043202
7.4,0.048232,0.036997,0.10094,-0.014868,-0.033048,-0.060215,0.045815
