"Time(s)"
12.1
21.9
23.9
29.9
43.4
48.4
51.2
52.2
53.2
54.2
63.1
68
88.3
94.1
96.3
98.7
107.3
108
111
123.3
138.2
151.3
160.5
162.5
172.7
182.8
196.4
218.4
224.8
227.2
228.5
243.7
254.9
263.1
263.6
266.4
273.8
275.5
277.7
292.7
303
313.4
320.1
322.2
323.7
331.1
331.7
344.4
353.1
355.9
368.7
386
398
409.1
417
418.6
420.8
429.6
430.2
430.5
431.8
438.4
440.4
441.7
443.8
450.6
465.8
471.9
474.7
475.8
477
493.1
501
501.9
502.9
505.2
515.2
528.3
543.6
550.7
551.3
553.5
556.7
573.2
595.9
616.7
638.9
650.4
662.5
671.6
674.7
686
714.3
735
752.7
795.2
818
827.9
828.7
852.4
858.4
863.6
871.5
890
890.4
903.8
921.8
974.3
1051.6
1064.5
1089.2
1101.2
1102
1112.5
1130.5
1143.9
1144.1
1160.3
1181.7
