"Time(s)"
102.4
102.8
115.8
127.6
140.5
219.8
232.8
248.4
256.9
258.5
271
281.5
329.1
329.6
343.2
355.2
416.1
442.8
487.4
517.2
547.4
582.9
597.5
632.2
632.7
687.3
760.6
801.7
802.1
861.7
922.3
923.3
1042.3
1097.1
1103.8
1141.6
1182.5
1199.7
1311.3
1369.5
1370.2
1433.5
1552.6
1555.6
1672.4
1771.8
2126.4
2156.8
2263.8
2288.6
2355.5
2495
2551.3
2626
2626.2
2626.9
2666.8
2707.1
2707.5
2901
2960.5
2986.9
3012.9
3096.9
3146
3212
3221.3
3230.8
3231.6
3386.8
