"Time(s)"
29.6
41.6
48.2
50
51.6
92.6
108.5
120.4
150.3
183.3
209.3
214.3
224.8
232.2
233.7
236.8
241.4
254.2
259.6
262.7
266
271.3
275.6
277.1
282.7
284.8
286.2
287.9
293
295.6
296.8
298.2
303.9
311.5
316.8
327.6
339.8
345.1
346.8
348.7
349.9
377.6
396.4
416.6
440.9
468.6
475.6
477.8
479
496.9
502.1
505.2
508.5
515.3
520.4
539.8
545.1
547.5
549.4
551
573
597.5
610.6
629.5
647.6
654.5
657.1
658.9
675.8
688.9
699.7
710.1
740
759.7
766.6
768.6
770.3
779.5
781.1
796.3
807.5
829.5
904
933
939.6
956.9
964.5
967.6
985
1003.3
1016
1031.4
1037.7
1048.6
1054
1055.9
1057.6
1059.3
1065.5
1065.7
1077.4
1085.2
1086.3
1105.2
1137
1222.2
1230.3
1232.1
1241
1288.6
1330.5
1376.1
1394.9
1410.7
1421.4
1426.4
1438
1499.8
1519.4
1717.7
1767.5
1813.5
1880
1936
2026.9
2114.9
2166.5
2174.1
2194.1
2225.4
2264.1
2296.1
2316
2330.5
2441.6
2539.4
2603.4
2726.8
2789.7
2813.7
2926.5
2953.2
2964.6
3013
3063.2
3116.9
3282.3
3314.7
3334
3358.7
3383.7
3393.1
3462
3475.9
3524.6
3545.9
3587.7
