"Time(s)"
46.9
61.4
118.1
236.5
253.9
267.8
336.3
355.1
365.5
475
486.7
500.1
514.2
524.4
579.8
591
609.8
625.8
637.2
660.4
672.8
683.6
694.3
708.7
720.3
730.9
772.2
783.9
804.6
815.2
827.4
1128.6
1143.7
1154.7
