Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0,0.064857,-0.02032,-0.010407,0.02881,-0.00095181,0.029098,-0.048134
0.1,0.063843,-0.0214,-0.010087,0.027817,0.00016517,0.029467,-0.046263
0.2,0.062546,-0.022739,-0.0101,0.026614,0.0011276,0.029926,-0.043996
0.3,0.059081,-0.027349,-0.013508,0.025488,-0.00030197,0.030133,-0.036496
0.4,5.42E-02,-0.027665,-0.012926,0.019122,-0.0069255,0.02942,-0.041131
0.5,4.71E-02,-0.031388,-0.01133,0.008258,-0.011434,0.017436,-0.049822
0.6,0.041072,-0.034041,-0.007422,0.00072073,-0.016454,0.010689,-0.053599
0.7,0.035985,-0.035952,-0.0016683,-0.004726,-0.020092,0.0086271,-0.0547
0.8,0.033617,-0.037417,0.0031534,-0.0061837,-0.021742,0.0087375,-0.051555
0.9,0.035286,-0.034573,0.0087169,-0.0040554,-0.021665,0.0087449,-0.04872
1,0.037854,-0.033697,0.011406,-0.00036498,-0.01594,0.012328,-0.044065
1.1,0.038867,-0.032804,0.012706,0.0011677,-0.013484,0.014143,-0.041466
1.2,0.03984,-0.032428,0.012758,0.002454,-0.011567,0.01541,-0.038494
1.3,3.84E-02,-0.032128,0.010233,0.0017621,-0.018402,0.010959,-0.036185
1.4,3.73E-02,-0.033276,0.0078955,0.0013145,-0.019327,0.010587,-0.034846
1.5,0.036746,-0.033005,0.0079757,0.0013909,-0.018896,0.011136,-0.03427
1.6,0.035445,-0.033585,0.010167,0.0022634,-0.017762,0.013113,-0.032866
1.7,0.034898,-0.0325,0.011429,0.0037447,-0.01732,0.015654,-0.031375
1.8,0.036305,-0.031067,0.0091154,0.0036827,-0.015667,0.016494,-0.030484
1.9,0.036455,-0.028652,0.0094057,0.0029787,-0.015993,0.017073,-0.030951
2,0.036034,-0.028026,0.0094959,0.0027378,-0.019956,0.014949,-0.031008
2.1,0.036786,-0.026283,0.0099539,0.0028853,-0.022256,0.014684,-0.030683
2.2,0.035586,-0.0266,0.0079411,0.0037208,-0.022708,0.014383,-0.029218
2.3,0.033385,-0.026717,0.0066068,0.0034138,-0.022262,0.013337,-0.028186
2.4,0.031803,-0.026227,0.0060834,0.0023076,-0.021208,0.013772,-0.028399
2.5,0.029079,-0.023892,0.0059517,0.00034624,-0.020996,0.01243,-0.028549
2.6,0.026161,-0.022852,0.0055549,-0.00040926,-0.020557,0.011243,-0.02698
2.7,0.021414,-0.021282,0.0053375,-0.0016903,-0.019501,0.0091341,-0.024152
2.8,0.0089761,-0.01746,0.0090184,-0.0069251,-0.021721,0.0037212,-0.021625
2.9,0.0042368,-0.015737,0.013474,-0.0091167,-0.023769,0.0039819,-0.019535
3,0.012212,-0.019666,0.015494,-0.0088745,-0.027066,0.007806,-0.018753
3.1,0.017376,-0.022129,0.016118,-0.0095358,-0.029909,0.0093886,-0.019522
3.2,0.027206,-0.025001,1.68E-02,-0.0098112,-0.030372,0.016496,-0.024487
3.3,0.034011,-0.025201,1.82E-02,-0.0084348,-0.029348,0.024959,-0.026069
3.4,0.038266,-0.024128,0.017794,-0.0057339,-0.029583,0.027533,-0.027354
3.5,0.042045,-0.025011,0.017827,-0.0083412,-0.03341,0.027184,-0.029155
3.6,0.045726,-0.028296,1.66E-02,-0.011004,-0.037942,0.024657,-0.032581
3.7,0.050105,-0.032783,0.013393,-0.01193,-0.044845,0.020874,-0.037206
3.8,0.053594,-0.035749,0.01065,-0.01419,-0.050646,0.019066,-0.040758
3.9,0.053994,-0.03679,0.0087253,-0.018694,-0.057101,0.020541,-0.041891
4,0.05481,-0.037624,0.0072205,-0.023878,-0.056982,0.022474,-0.042524
4.1,0.056264,-0.038836,0.0057282,-0.028314,-0.051394,0.023977,-0.041849
4.2,0.056621,-0.040756,0.0038498,-0.032572,-0.047948,0.023871,-0.041192
4.3,0.056856,-0.041929,0.00095723,-0.036165,-0.047761,0.022857,-0.039875
4.4,0.056696,-0.043758,-0.0036148,-0.039494,-0.048515,0.020798,-0.038955
4.5,0.057117,-0.045079,-0.0081296,-0.04249,-0.049196,0.019135,-0.036937
4.6,0.057902,-0.044019,-0.013313,-0.046687,-0.05115,0.016325,-0.034653
4.7,0.058551,-0.042216,-0.017509,-0.050247,-0.052732,0.017382,-0.032709
4.8,0.058034,-0.039227,-0.022002,-0.055141,-0.053521,0.020436,-0.03358
4.9,0.057586,-0.03866,-0.025597,-0.058361,-0.054438,0.020729,-0.032497
