"Time(s)"
18.1
25.1
31.6
40.7
42.4
46.9
49.5
50.9
52.2
53.4
58.1
59.2
61.5
62.7
63.7
99.7
105.7
107.3
108.9
111.9
136.4
140.5
144.7
146.3
147.7
151.8
154.9
158.8
184
195.5
215.6
227
231.5
349.3
357.3
361.3
369.1
373.6
378.2
386.3
429.9
435.8
445.1
451.2
453
822.4
835.6
839.9
848.1
862.9
872.3
873.9
895.5
905.5
907.3
919.3
943.1
953.9
960.7
966.1
969.9
973.8
974.4
1004.5
1012
1016.6
1056.1
1070.5
1075.2
1161.4
1176.2
1189.3
