Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0,0.020517,0.030226,-0.012886,0.023188,0.00089388,0.02343,0.0028965
0.1,0.020393,0.030761,-0.007938,0.024039,-0.0015622,0.025011,0.0032289
0.2,0.019067,0.031485,-0.0022559,0.025949,-0.0030967,0.024201,0.0021333
0.3,0.017305,0.031542,-0.00099284,0.026169,-0.0033191,0.021526,0.0031107
0.4,0.016075,0.031379,-0.0021424,0.025197,-0.0032543,0.019924,0.0040012
0.5,0.014803,0.030972,-0.0052217,0.023844,-0.0019379,0.018201,0.0044069
0.6,0.011061,0.029654,-0.005413,0.021124,-0.0044182,0.016268,0.0056404
0.7,0.0092915,0.029625,-0.003962,0.020235,-0.0060808,0.015529,0.0062243
0.8,0.0085371,0.029717,-0.000921,0.020309,-0.0084288,0.01599,0.0067194
0.9,0.011637,0.029251,-0.00042046,0.023448,-0.0076441,0.018673,0.0059834
1,0.014819,0.028523,-0.0019679,0.028408,-0.0082903,0.021775,0.0060775
1.1,0.017202,0.027835,-0.0043194,0.033544,-0.0081565,0.025601,0.0062047
1.2,0.017903,0.027682,-0.0052995,0.034633,-0.0084606,0.026437,0.0061215
1.3,0.017711,0.027652,-0.0056505,0.034022,-0.0089114,0.026253,0.0057915
1.4,0.018139,0.027529,-0.0065898,0.034301,-0.0094943,0.026822,0.0054828
1.5,0.01864,0.027264,-0.0081496,0.034923,-0.0098825,0.02794,0.0052647
1.6,0.018647,0.027325,-0.0085262,0.034285,-0.010441,0.027626,0.0049367
1.7,0.017926,0.027782,-0.0075993,0.032384,-0.010983,0.025706,0.0045265
1.8,0.017918,0.027578,-0.005439,0.03115,-0.011768,0.023807,0.0019542
1.9,0.018271,0.026587,-0.0028089,0.030386,-0.013423,0.024663,-0.0026261
2,0.021059,0.025964,-0.0002234,0.03085,-0.014385,0.02502,-0.0058473
2.1,0.024665,0.02575,0.0025427,0.030989,-0.015452,0.025409,-0.0094259
2.2,0.028029,0.025736,0.0040793,0.031018,-0.017716,0.025766,-0.013664
2.3,0.029056,0.025543,0.0046219,0.031197,-0.018143,0.026113,-0.014864
2.4,0.028992,0.025198,0.0043242,0.031597,-0.017976,0.026535,-0.014765
2.5,0.028717,0.023161,0.0043778,0.033179,-0.015555,0.027962,-0.012941
2.6,0.029969,0.019054,0.0059396,0.035853,-0.012702,0.029011,-0.011207
2.7,0.030991,0.014949,0.0082668,0.037588,-0.0091347,0.029556,-0.010815
2.8,0.032501,0.010774,0.010643,0.039725,-0.0046005,0.029052,-0.010038
2.9,0.033643,6.12E-03,0.011869,0.040503,-0.001262,0.028536,-0.0067893
3,0.035043,0.0042131,0.01423,0.04203,0.002775,0.028013,-0.006032
