Time(s),,,
19.9,,,    
26.2,,,
36.5,,,
46.2,,,
47.7,,,
56.1,,,
57.6,,,
59,,,
72.5,,,
78.5,,,
80.2,,,
82.1,,,
83.5,,,
89.5,,,
90.9,,,
92.2,,,
93.5,,,
95.1,,,
100.4,,,
112.2,,,
118.8,,,
120.4,,,
121.3,,,
123.5,,,
138.1,,,
148.2,,,
148.7,,,
156.9,,,
157.3,,,
157.6,,,
159.6,,,
168.9,,,
170.6,,,
177.1,,,
177.7,,,
178.2,,,
182.3,,,
196.7,,,
208.5,,,
216.5,,,
218.6,,,
226.2,,,
227.8,,,
230.6,,,
241,,,
262.4,,,
270.5,,,
271.9,,,
273.4,,,
288.4,,,
301.1,,,
320.3,,,
329.2,,,
330.9,,,
338.1,,,
344.4,,,
352.9,,,
354.4,,,
356.1,,,
363.7,,,
366,,,
367.1,,,
374.3,,,
376.3,,,
377.8,,,
406.7,,,
413.7,,,
415.1,,,
416.5,,,
418.8,,,
426.7,,,
428.3,,,
429.8,,,
436.4,,,
437.8,,,
441.2,,,
450.6,,,
451.9,,,
462.9,,,
470.5,,,
472,,,
473.5,,,
479.6,,,
480.7,,,
484.6,,,
490.9,,,
493.6,,,
494.9,,,
504.8,,,
508.8,,,
527.4,,,
580.8,,,
602.8,,,
628.2,,,
637,,,
638.7,,,
652.5,,,
664.6,,,
665.9,,,
749.8,,,
759,,,
759.8,,,
761.3,,,
771.7,,,
779,,,
783.3,,,
793.3,,,
794.2,,,
802.9,,,
806.7,,,
814,,,
816.4,,,
817.8,,,
818.2,,,
837.9,,,
838.4,,,
846.9,,,
849,,,
855.5,,,
857.6,,,
859.5,,,
876.7,,,
902.7,,,
912.5,,,
937.8,,,
972.2,,,
1036.9,,,
1048.4,,,
1118.6,,,
