Time(s),Cell 0,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6
0.1,0.069883,-0.031561,-0.033286,-0.034703,0.0033521,0.078217,-0.04121
0.2,0.068415,-0.031138,-0.032783,-0.03408,0.0034869,0.078914,-0.040881
0.3,0.063671,-0.029542,-0.031626,-0.033348,0.0037149,0.08127,-0.039107
0.4,0.060709,-0.026614,-0.032268,-0.031041,0.0046222,0.081949,-0.038709
0.5,0.058693,-0.024632,-0.03343,-0.021282,0.0053059,0.080912,-0.044403
0.6,0.058121,-0.022942,-0.034346,-0.021557,0.0057208,0.080049,-0.045401
0.7,0.057591,-0.02099,-0.035193,-0.021611,0.0061963,0.080216,-0.043892
0.8,0.056882,-0.018101,-0.037941,-0.016924,0.004585,0.082325,-0.038476
0.9,0.056471,-0.019011,-0.038985,-0.012366,0.001607,0.081644,-0.036593
1,0.055503,-0.019765,-0.036963,-0.0089858,0.0022521,0.084921,-0.030327
1.1,0.053957,-0.024393,-0.02968,-0.013646,0.0018627,0.0826,-0.035984
1.2,0.053964,-0.026829,-0.028108,-0.015441,-0.001172,0.080318,-0.0365
1.3,0.053595,-0.027954,-0.027016,-0.015965,-0.0045851,0.080318,-0.030132
1.4,0.053125,-0.027058,-0.026581,-0.014048,-0.0044894,0.081348,-0.027773
1.5,0.053653,-0.025163,-0.028097,-0.014447,-0.0019756,0.081633,-0.024221
1.6,0.054235,-0.029537,-0.02275,-0.016093,-0.0009996,0.081325,-0.022886
1.7,0.055344,-0.027589,-0.021893,-0.0159,0.0039195,0.078508,-0.022635
1.8,0.055579,-0.02531,-0.02606,-0.012068,0.0041958,0.07586,-0.024229
1.9,0.05509,-0.022251,-0.031997,-0.010815,0.0025325,0.072015,-0.027312
2,0.054719,-0.022213,-0.032844,-0.011731,0.0018192,0.070641,-0.02767
2.1,0.053895,-0.02294,-0.03526,-0.014365,-0.0030934,0.06952,-0.024818
2.2,0.05348,-0.026867,-0.029428,-0.019323,-0.0025661,0.070528,-0.021225
2.3,0.052806,-0.025301,-0.026115,-0.026375,0.0035072,0.069021,-0.021293
2.4,0.052626,-0.022582,-0.025902,-0.026213,0.0060367,0.068715,-0.021481
2.5,0.052588,-0.020844,-0.029473,-0.025259,0.0056218,0.065699,-0.024322
2.6,0.051829,-0.020884,-0.032102,-0.024092,0.003403,0.066677,-0.021625
2.7,0.051319,-0.020223,-0.029586,-0.020906,0.0034885,0.071124,-0.015006
2.8,0.050654,-0.021416,-0.029307,-0.020745,0.0026245,0.071224,-0.013814
